Specjalna odzie¿ robocza;Jednostki do przechowywania taœm magnetycznych;Czêœci i akcesoria do pojazdów i wózków inwalidzkich;W³ókiennicze przewody do pomp
Owoce morza;Kwaœne oleje z rafinacji;Film diazytowy;£odzie wios³owe;Wirówki
Mro¿one skorupiaki;Kwasy karboksylowe;Taœma filmowa;£odzie z napêdem peda³owym;Wirówki laboratoryjne i akcesoria
Skorupiaki przetworzone lub konserwowane;Kwas octowy;Film fotograficzny;Lokomotywy kolejowe i tramwajowe oraz tabor kolejowy i podobne elementy;Wirówki pod³ogowe
Produkty ze skorupiaków;Kwas nadoctowy;Film do odbitek natychmiastowych;Parowozy i lokomotywy kolejowe;Wirówki sto³owe
Owoce, warzywa i podobne produkty;Nienasycone monokarboksylowe kwasy i zwi¹zki;Filmy wideo;Lokomotywy;Reduktory do wirówek
Ziemniaki i produkty z ziemniaków;Estry kwasu metakrylowego;Kasety wideo;Parowozy i wagony linowe;Urz¹dzenia obrotowe do wirówek
Ziemniaki mro¿one;Estry kwasu akrylowego;Taœmy wideo;Parowozy;G³adzarki
Chipsy i frytki;Aromatyczne kwasy polikarboksylowe i karboksylowe;Inne klisze;Wagony linowe;Walcarki
Ziemniaki, krojone lub w plastrach oraz pozosta³e ziemniaki mro¿one;Zwi¹zki organiczne z azotow¹ grup¹ funkcyjn¹;Urz¹dzenia komunikacji wewnêtrznej;Tabor kolejowy;Automaty sprzedaj¹ce
Produkty ziemniaczane;Zwi¹zki z aminow¹ grup¹ funkcyjn¹;Sieci;Kolejowe pojazdy konserwacyjne lub us³ugowe i kolejowe wagony towarowe;Automaty sprzedaj¹ce artyku³y higieniczne
Ziemniaki t³uczone preparowane;Zwi¹zki aminowe z tlenow¹ grup¹ funkcyjn¹;Lokalna sieæ komputerowa;Kolejowe wagony towarowe;Automaty do sprzeda¿y znaczków
Czêœciowo sma¿one chipsy ziemniaczane;Ureiny;Sieæ aparatów wrzutowych;Konserwacja taboru kolejowego i pojazdy serwisowe;Automaty do sprzeda¿y towarów
Chipsy ziemniaczane;Zwi¹zki z azotow¹ grup¹ funkcyjn¹;Sieci komunikacyjne;Wagony kolejowe i tramwajowe pasa¿erskie oraz trolejbusy;Maszyny do obróbki cieplnej tworzyw
Chipsy ziemniaczane z dodatkiem substancji smakowych;Organiczne zwi¹zki siarki;Sieæ telekomunikacyjna;Tramwajowe wagony pasa¿erskie;Maszyny do obróbki cieplnej gazu
Przek¹ski ziemniaczane;Aldehyd, keton, nadtlenki organiczne i etery;Sieæ internetowa;Kolejowe wagony pasa¿erskie;Piece i akcesoria
Krokiety ziemniaczane;Zwi¹zki z aldehydow¹ grup¹ funkcyjn¹;Sieæ intranetowa;Trolejbusy;Piece pró¿niowe
Ziemniaki przetworzone;Zwi¹zki z ketonow¹ i chinonow¹ grup¹ funkcyjn¹;Sieæ zintegrowana;Wagony kolejowe;£aŸnie termostatyczne i akcesoria
Soki owocowe i warzywne;Nadtlenki organiczne;Rutery sieciowe;Pó³ciê¿arówki baga¿owe i pó³ciê¿arówki specjalnego zastosowania;Wê¿ownice oziêbiaj¹ce
Soki owocowe;Tlenek etylenu;Sieæ ethernet;"Czêœci lokomotyw kolejowych lub tramwajowych, lub taboru kolejowego; urz¹dzenia do sterowania ruchem kolejowym";£aŸnie ultradŸwiêkowe
Sok pomarañczowy;Etery;Sieæ ISDN;Czêœci lokomotyw lub taboru kolejowego;Termostaty zanurzeniowe
Sok grejpfrutowy;Ró¿ne organiczne substancje chemiczne;Sieæ ISDX;Ko³a jednolite;Ch³odnice zanurzeniowe
Sok z cytryny;Roœlinne pochodne do barwienia;Sieci multimedialne;Bufory i odbojnice;Uk³ady ch³odz¹ce i ch³odz¹ce/grzewcze z obiegiem
Sok ananasowy;Wêgiel drzewny;Sieæ radiowa;Siedziska kolejowe;Ch³odnice z obiegiem
Sok winogronowy;Oleje i produkty z destylacji wysokotemperaturowej smo³y wêglowej, palu i smo³y pakowej;Urz¹dzenia sieciowe;Osie i opony oraz inne czêœci lokomotyw lub taboru kolejowego;Uk³ady z obiegiem wysokotemperaturowym
Sok jab³kowy;Smo³a wêglowa;Okablowanie sieciowe;Urz¹dzenia do sterowania ruchem kolejowym;Uk³ady z obiegiem grzewczym
Mieszanki soków nieskoncentrowanych;Kreozot;Elementy sk³adowe sieci;Sygnalizacja mechaniczna;Pokrywy ³aŸni
Soki skoncentrowane;Smo³a;Gniazda sieciowe;Kolejowe elektryczne urz¹dzenia sygnalizacyjne;Czêœci maszyn ogólnego zastosowania
Soki warzywne;Smo³a pakowa;Infrastruktura sieciowa;Kolejowe instalacje elektryczne;Czêœci wirówek
Sok pomidorowy;Produkty ¿ywiczne;Sieciowy system operacyjny;Elementy samochodowe;Czêœci g³adzarek
Przetworzone owoce i warzywa;£ugi odpadowe z produkcji œcieru drzewnego;Sieciowy system publikacji;Statki powietrzne i kosmiczne;Czêœci walcarek
Warzywa przetworzone;Nawozy azotowe i zwi¹zki azotu;System sieciowy;Œmig³owce, samoloty, statki kosmiczne i inne statki powietrzne z napêdem;Czêœci maszyn filtruj¹cych
Warzywa œwie¿e lub mro¿one;Nawozy azotowe;Modernizacja sieci;Œmig³owce i samoloty;Czêœci maszyn oczyszczaj¹cych
Przetworzone warzywa korzeniowe;Kwas azotowy i sole;Sprzêt sieci telefonicznej;Samoloty;Czêœci maszyn natryskuj¹cych
Przetworzone warzywa bulwiaste;Azotan sodowy;Rozleg³a sieæ komputerowa;Sta³op³aty;Odwa¿niki do urz¹dzeñ wa¿¹cych
Fasola, groch, papryki, pomidory i pozosta³e warzywa;Kwasy siarkowo-azotowe;Wyposa¿enie telemetryczne i terminali;Bezza³ogowe statki powietrzne;Zmywarki do naczyñ inne ni¿ u¿ywane w gospodarstwie domowym
Fasola przetworzona;Amoniak;Sprzêt telemetryczny;Za³ogowe statki powietrzne;System sterowania i kontroli, sprzêt drukuj¹cy, graficzny, automatyzuj¹cy prace biurowe i przetwarzaj¹cy informacje
Groch przetworzony;Ciek³y amoniak;Telemetryczny system nadzoru;Statki powietrzne specjalnego zastosowania;System sterowania i kontroli
Groch dzielony;Chlorek amonu;Sprzêt telemetryczny i steruj¹cy;Œmig³owce;System kontroli dostêpu
Pomidory przetworzone;Siarczan amonu;System telemetryczny;Statki kosmiczne, satelity oraz wyrzutnie;Przemys³owy system kontroli ruchu lub równorzêdny
Grzyby przetworzone;Nawozy fosforowe;Wyposa¿enie terminali;Statki kosmiczne;System kontroli ruchu pojazdów
Papryki przetworzone;Nawozy fosforowe mineralne;Tablice terminalowe;Satelity;System wysy³ki
Kie³ki sojowe;Nawozy fosforowe chemiczne;Skrzynki terminalowe;Wyrzutnie statków kosmicznych;Urz¹dzenia drukuj¹ce i graficzne
Trufle;Nawozy zwierzêce lub roœlinne;Emulatory terminalowe;Balony, sterowce i pozosta³e statki powietrzne nienapêdzane paliwem;Uk³ad drukowania na kliszach
Warzywa liœciaste i kapustne;Ró¿ne nawozy;Bloki koñcowe;Szybowce;Prasa drukarska
Kapusta przetworzona;Wyroby rolno-chemiczne;Urz¹dzenia i artyku³y telekomunikacyjne;Lotnie;Graficzne stacje robocze
Przetworzone jadalne czêœci warzyw str¹czkowych;Pestycydy;Bezprzewodowy system telekomunikacyjny;Balony i sterowce;Hektografy
Warzywa mro¿one;Œrodki owadobójcze;Sprzêt i kable telekomunikacyjne;Balony;Maszyny do wykonywania rycin
Warzywa konserwowane i/lub puszkowane;Œrodki chwastobójcze;Kable telekomunikacyjne;Sterowce;Prasy do wyt³aczania monet
Fasola w sosie pomidorowym;Regulatory wzrostu roœlin;Sprzêt telekomunikacyjny;Czêœci statków powietrznych, kosmicznych i œmig³owców;Zautomatyzowany sprzêt biurowy
Fasola pieczona;Œrodki odka¿aj¹ce;Urz¹dzenia telekomunikacyjne;Czêœci statków powietrznych;Urz¹dzenia do przetwarzania informacji
Pomidory konserwowane;Œrodki przeciwko gryzoniom;System telekomunikacyjny;Silniki statków powietrznych;System zarz¹dzania magazynami
Pomidory puszkowane;Œrodki grzybobójcze;Satelitarne urz¹dzenia komunikacyjne;Silniki turboodrzutowe;System sk³adowania
Przecier pomidorowy;Tworzywa sztuczne w formach podstawowych;Urz¹dzenia ³¹cznoœci satelitarnej;Turboœmig³a;Jednostka steruj¹ca
Skoncentrowany przecier pomidorowy;Polimery etylenu w formach podstawowych;Talerze satelitarne;Silniki odrzutowe;Cyfrowa jednostka sterowania
Sos pomidorowy;Polimery propylenu w formach podstawowych;Satelitarne stacje naziemne;Czêœci silników statków powietrznych;Maszyny wydaj¹ce
Grzyby puszkowane;Polimery styrenu w formach podstawowych;Platformy satelitarne;Czêœci silników turboodrzutowych i turboœmigie³;Maszyny wydaj¹ce napoje
Oliwki przetworzone;Polimery winylu w formach podstawowych;Centrale;Czêœci œmig³owców;Maszyny wydaj¹ce artyku³y toaletowe
Warzywa puszkowane;Polimery octanu winylowego w formach podstawowych;Wyposa¿enie centrali;Opony do statków powietrznych;System do podawania papieru toaletowego
Kapusta kiszona puszkowana;Polimery akrylowe w formach podstawowych;Centrale panelowe;Urz¹dzenia do statków powietrznych lub kosmicznych, urz¹dzenia szkoleniowe, symulatory i podobne czêœci;Czêœci zmywarek oraz maszyn do czyszczenia, nape³niania, pakowania zbiorczego lub jednostkowego
Groch puszkowany;Poliestry w formach podstawowych;£¹cznice telefoniczne;Wyposa¿enie statków powietrznych;Czêœci zmywarek
Puszkowana fasola nieobrana;Poliamidy w formach podstawowych;Wyposa¿enie central prywatnych po³¹czonych z central¹ miejsk¹;Platformy wyrzutowe statków powietrznych;Czêœci maszyn czyszcz¹cych
Puszkowana ca³a fasola;¯ywice mocznikowe w formach podstawowych;Systemy central prywatnych po³¹czonych z central¹ miejsk¹;Systemy katapultuj¹ce do statków powietrznych;Czêœci maszyn do nape³niania
Puszkowany szparag lekarski;¯ywice aminowe w formach podstawowych;Cyfrowe wyposa¿enie centrali;DŸwignie zaczepowe;Czêœci maszyn do pakowania zbiorczego
Oliwki puszkowane;Krzemiany w formach podstawowych;Centrale cyfrowe;Symulatory lotu;Czêœci maszyn do pakowania jednostkowego
Kukurydza s³odka;Materia³y wybuchowe;Centrale pró¿niowe;Napowietrzne, lotnicze urz¹dzenia szkoleniowe;Generatory gazu
Warzywa tymczasowo zakonserwowane;Gotowe materia³y wybuchowe;Sprzêt telefoniczny;Torby u¿ywane w chorobie lokomocyjnej;Generatory ozonu
Warzywa konserwowane w occie;Proszki pêdne;Kable telefoniczne i podobny sprzêt;Ró¿ny sprzêt transportowy i czêœci zapasowe;Ró¿ne maszyny specjalnego zastosowania
Przetworzone owoce i orzechy;Paliwa napêdowe;Pod³¹czenia telefoniczne;Wozy konne i rêczne, inne pojazdy nienapêdzane mechanicznie, wózki baga¿owe i ró¿ne czêœci zapasowe;Maszyny i czêœci introligatorskie, druków i ksi¹¿ek
Przetworzone owoce;Ró¿ne materia³y wybuchowe;Centrale telefoniczne;Wozy konne i rêczne oraz inne pojazdy nienapêdzane mechanicznie;Maszyny introligatorskie
Przetworzone jab³ka;Dynamit;Telefoniczne zestawy s³uchawkowe;Wózki;Niciarki
Przetworzone gruszki;TNT;Sieæ telefoniczna;Wózki baga¿owe;Maszyny drukarskie
Przetworzone banany;Nitrogliceryna;Kable telefoniczne;Wózki popychane;Maszyny drukarskie offsetowe
Szczaw alpejski;Petardy sygnalizacyjne, rakiety do sygnalizacji podczas deszczu lub mg³y i wyroby pirotechniczne;Aparatura elektryczna do telefonii napowietrznej lub telegrafii;Ró¿ne czêœci zapasowe;Maszyny do sk³adu
Melony;Naboje do odstraszania ptactwa;Zestawy do aparatów telefonicznych;Zu¿yte opony;Drukarki do biletów
D¿emy i marmolady, galaretki owocowe, przeciery z owoców i orzechów oraz pasty do smarowania;Sztuczne ognie;Telefony bezprzewodowe;Opony regenerowane;System fotosk³adu
Marmolady;Lonty, sp³onki, zapalniki i detonatory elektryczne;Telefony awaryjne;Zderzaki;Suszarki do drewna, masy papierniczej lub tektury
Marmolada pomarañczowa;Produkty chemiczne wysokowartoœciowe i ró¿ne;Telefony publiczne;Zegary do pojazdów mechanicznych;Czêœci maszyn drukarskich lub introligatorskich
Marmolada cytrynowa;Kleje;Sprzêt telefonii p³atnej;Zamki do pojazdów;Towary elektryczne specjalnego zastosowania
Galaretki owocowe;¯elatyny;Telefony dla s³abowidz¹cych;Zamki do rowerów;Klatka Faradaya
Pasty owocowe do smarowania;Spoiwa;Telefony dla s³abos³ysz¹cych;Œruby napêdowe do statków;Komora dŸwiêkoszczelna
Pasty orzechowe do smarowania;Olejki eteryczne;Teledrukarki;Drabiny do wozów stra¿ackich;Elektromagnetyczne tworzywo ch³onne
Mas³o orzechowe;Chemikalia fotograficzne;Aparatura centrali telefonicznych lub telegraficznych;Kotwy;Maszyny przemys³u chemicznego
Przeciery owocowe;P³yty i klisze fotograficzne;Cyfrowe centrale telefoniczne;Sprzêt drogowy;Chlorowniki
D¿emy;Emulsje do u¿ytku fotograficznego;Multipleksery;Sprzêt do konserwacji dróg;Instalacje dawkuj¹ce
D¿em morelowy;Wywo³ywacze fotograficzne;Telefoniczna aparatura prze³¹czaj¹ca;Zamiatarki drogowe;Maszyny do obróbki gumy i tworzyw sztucznych
D¿em je¿ynowy;Utrwalacze fotograficzne;Aparatura do zmiany przeznaczenia u¿ytkowego czêstotliwoœci dŸwiêku;Zamiatarki szosowe;Maszyny do produkcji okien i framug z tworzyw sztucznych
D¿em z czarnej porzeczki;Wywo³ywacze do zdjêæ rentgenowskich;Modemy;Urz¹dzenia do znakowania dróg;Maszyny do przerobu tworzyw sztucznych
D¿em wiœniowy;Utrwalacze do zdjêæ rentgenowskich;Przemienniki czêstotliwoœci;Oznakowanie drogowe;Przybory do laminowania
D¿em malinowy;Noœniki kultur;Urz¹dzenia koduj¹ce;Elementy szklane do znakowania dróg;Laminatory
D¿em truskawkowy;Wzmacniacze obrazu;Aparatura teletekstowa;Sprzêt do kontroli ruchu drogowego;Ró¿ne maszyny czyszcz¹ce
Przetworzone orzechy;Specjalistyczne produkty chemiczne;Terminale wideotekstowe;Zmienne znaki informacyjne;Przemywacze tunelowe
Orzechy palone lub solone;T³uszcze i smary;Urz¹dzenia teleksowe;Sprzêt do kontroli parkingów samochodowych;Maszyny do sprz¹tania pla¿y
Owoce konserwowane;Smary;Domofony;Urz¹dzenia wrzutowe;Maszyny do uzdatniania œcieków
Owoce suszone;I³owa p³uczka wiertnicza;Czêœci elektrycznej aparatury telefonicznej lub telegraficznej;Sól drogowa;Rozdrabniarki
Przetworzone porzeczki;Smar silikonowy;Tworzywa z w³ókna optycznego;Obudowa drogowa;Maceratory do uzdatniania œcieków
Przetworzone rodzynki;P³yny wiertnicze;Pod³¹czenia z w³ókna optycznego;Bariery zderzeniowe;Prasy do odpadów
Su³tanki;Dodatki do olejów;Kable œwiat³owodowe;Bariery drogowe;Zgarniarki
Warzywne produkty uboczne;Proszek gaœniczy;Kable œwiat³owodowe do przesy³u informacji;Elementy barier;Mieszad³a
Oleje i t³uszcze zwierzêce lub roœlinne;Œrodki gaœnicze;Œwiat³owodowe kable telekomunikacyjne;Ogrodzenia;Ekrany przesiewowe do odpadów
Surowe oleje i t³uszcze zwierzêce lub roœlinne;£adunki gaœnicze;Œwiat³owodowe kable do przesy³u danych;Wiaty drewniane;Urz¹dzenia natleniaj¹ce
Oleje zwierzêce lub roœlinne;P³yny hydrauliczne;Urz¹dzenia ³¹cznoœci;Elementy ogrodzeñ;Wytr¹carki
Olej roœlinny;Œrodki usuwaj¹ce oblodzenia;Infrastruktura komunikacyjna;Ogrodzenia eliminuj¹ce ha³as;Z³o¿a osadowe
Oliwa z oliwek;Œrodki zapobiegaj¹ce zamarzaniu;Kabel komunikacyjny;Bariery ochronne;Urz¹dzenia do obróbki osadów
Olej sezamowy;Chemicznie modyfikowane t³uszcze i oleje;Kabel komunikacyjny z wielokrotnymi przewodnikami elektrycznymi;Ogrodzenia ochronne;Maszyny do ruroci¹gów
Olej z orzechów ziemnych;Pasty modelarskie;Kabel komunikacyjny z przewodnikami wspó³osiowymi;Odbojnice;Maszyny do badania wewnêtrznej powierzchni ruroci¹gów
Olej kokosowy;Wosk stomatologiczny;Kabel komunikacyjny specjalnego zastosowania;Urz¹dzenia zabezpieczaj¹ce przed lawinami;Maszyny do czyszczenia wewnêtrznej powierzchni ruroci¹gów
Olej spo¿ywczy;Œrodki wykañczalnicze;Komunikacyjny system sterowania;P³oty œniegowe;Roboty przemys³owe
Olej do sma¿enia;Wêgiel aktywny;Sprzêt do obs³ugi danych;Osprzêt miejski;System do podnoszenia palet
T³uszcze;Nowy wêgiel aktywny;Sprzêt do przesy³u danych;S³upy og³oszeniowe;System do wyszukiwania palet
T³uszcze zwierzêce;Regenerowany wêgiel aktywny;Kabel do transmisji danych;Drogowe lampy ostrzegawcze;Odkurzacze i froterki do pod³óg inne ni¿ u¿ywane w gospodarstwie domowym
T³uszcze roœlinne;Chemiczne preparaty toaletowe;Kabel do transmisji danych z wielokrotnymi przewodnikami;Znaki nawigacyjne;Odkurzacze inne ni¿ u¿ywane w gospodarstwie domowym
Pozosta³oœci sta³e z t³uszczów lub olejów roœlinnych;Peptony i substancje bia³kowe;Kabel do transmisji danych z przewodnikami wspó³osiowymi;S³upy autobusowe;Froterki do pod³óg inne ni¿ u¿ywane w gospodarstwie domowym
Makuchy;Dodatki chemiczne;Kabel do transmisji danych specjalnego zastosowania;Pacho³ki;Czêœci odkurzaczy innych ni¿ u¿ywane w gospodarstwie domowym
Rafinowane oleje i t³uszcze;Gotowe spoiwa do form odlewniczych lub rdzeni;Urz¹dzenia faksowe;S³upki drogowe;Czêœci froterek do pod³óg innych ni¿ u¿ywane w gospodarstwie domowym
Oleje rafinowane;Dodatki do cementów, zapraw lub zbrojeñ;Akcesoria i elementy sk³adowe do urz¹dzeñ faksowych;Elementy oznakowania;Maszyny górnicze, do pracy w kamienio³omach, sprzêt budowlany
T³uszcze rafinowane;Produkty chemiczne dla przemys³u naftowego i gazowniczego;Noœniki danych;Tworzywa sygnalizacyjne;Urz¹dzenia górnicze
Oleje lub t³uszcze uwodornione lub estryfikowane;Chemikalia wiertnicze;Noœniki danych i g³osu;Oznakowanie;Wrêbiarki do wêgla lub ska³ oraz maszyny do dr¹¿enia tuneli oraz wytaczania lub maszyny do g³êbienia szybów
Woski roœlinne;Œrodki k³aczkuj¹ce;Noœniki z zapisem danych;Pojemniki i kosze na odpady i œmieci;Maszyny do odwiertów
T³uszcze jadalne;Chemikalia odwiertowe;Urz¹dzenia medyczne, farmaceutyki i produkty do pielêgnacji cia³a;Oœwietleniowy sprzêt uliczny;Narzêdzia do g³owicy odwiertu
Margaryna i podobne produkty;Ampu³ki ¿elatynowe do przybitkowych materia³ów wybuchowych;Urz¹dzenia medyczne;Uliczne s³upy oœwietleniowe;Aparatura do nadlewów
Margaryna;Aerozole i chemikalia w postaci kr¹¿ków;Sprzêt obrazuj¹cy do u¿ytku medycznego, stomatologicznego i weterynaryjnego;S³upy latarniowe;Urz¹dzenia do dowiercania do z³o¿a
P³ynna margaryna;Aerozole;Aparatura rentgenowska;Latarnie uliczne;Urz¹dzenia do pog³êbiania odwiertów
Bezt³uszczowe lub niskot³uszczowe produkty do smarowania;Pierwiastki chemiczne w postaci kr¹¿ków;Sto³y rentgenowskie;Materia³y do budowy autostrad;Urz¹dzenia do badania odwiertów
Produkty mleczarskie;Ró¿ne produkty chemiczne;Rentgenowskie stacje robocze;Urz¹dzenia wodne;G³owica przeciwerupcyjna
Mleko i œmietana;P³yny ch³odnicze;Rentgenowskie urz¹dzenia przetwarzaj¹ce;Urz¹dzenia portowe;Maszyny do ciêcia wêgla lub ska³
Mleko;Chemikalia do uzdatniania wody;Urz¹dzenia do fluoroskopii rentgenowskiej;Instalacje dokowe;Maszyny do dr¹¿enia tuneli
Mleko pasteryzowane;Produkty antykorozyjne;Stomatologiczne aparaty rentgenowskie;Pomosty umo¿liwiaj¹ce pasa¿erom wejœcie na statek;Maszyny wytaczaj¹ce
Mleko sterylizowane;Gliceryna;Urz¹dzenia radiograficzne;Schody umo¿liwiaj¹ce pasa¿erom wejœcie na statek;Drena¿e
Mleko UHT;Enzymy;Jednostki rezonansu magnetycznego;Symulatory pomostów na statkach;Urz¹dzenia do wiercenia w skale
Mleko odt³uszczone;Maszyny biurowe i licz¹ce, sprzêt i materia³y, z wyj¹tkiem mebli i pakietów oprogramowania;Aparaty wykorzystuj¹ce promieniowanie gamma;Sprzêt do kontroli ruchu statków;Urz¹dzenia do g³êbienia szybów
Mleko pó³t³uste;Maszyny biurowe, sprzêt i materia³y, z wyj¹tkiem komputerów, drukarek i mebli;Termografy;Zestawy radarowe;Sprzêt wiertniczy
Mleko pe³not³uste;Edytory tekstu;Urz¹dzenia do mammografii;Sprzêt nawigacyjny;Przybrze¿ne platformy produkcyjne
Mleko skondensowane;Procesory tekstowe;Denzytometry do pomiaru gêstoœci koœci;£opatki napêdzaj¹ce;Sprzêt przybrze¿ny
Mleko w proszku;Urz¹dzenia fotokopiuj¹ce i do druku offsetowego;Pomieszczenia do angiografii;Urz¹dzenia kolejowe;Przybrze¿ne jednostki odwiertowe
Œmietana;Urz¹dzenia fotokopiuj¹ce i termokopiuj¹ce;Wyroby do angiografii;Kliny i akcesoria;Sprzêt do odwiertów ropy
Œmietana chuda;Fotokopiarki;Urz¹dzenia do angiografii;Prêty;Maszyny do wierceñ
Œmietana t³usta;Urz¹dzenia fotokopiuj¹ce;Cyfrowe urz¹dzenia do angiografii;Kliny szynowe;Wiertnica
Œmietana pe³not³usta;Urz¹dzenia do powielania;Wyroby do angioplastyki;Tory tramwajowe;Wiert³a
Bita œmietana;Powielacze;Urz¹dzenia do angioplastyki;Poprzecznice;Urz¹dzenia kablowe
Mas³o;Telefaksy;Diagnostyczny system rentgenowski;Rozjazdy;Zawiesia kablowe
Produkty serowarskie;Nadajniki cyfrowe;Sprzêt obrazuj¹cy pog³osowy, ultradŸwiêkowy i dopplerowski;Spoiwa kolejowe;Osprzêt platform wiertniczych
Ser sto³owy;Cyfrowe urz¹dzenia powielaj¹ce;Ultrasonograf do badania serca;Urz¹dzenia sygnalizacyjne;Rusztowania przesuwne
Ser œwie¿y;Biurowe maszyny offsetowe;Aparaty ultrasonograficzne;S³upy sygnalizacyjne;Wbudowane modu³y przesuwne
Ser twarogowy;Cyfrowe systemy offsetowe;Skanery ultradŸwiêkowe;Skrzynki sygnalizacyjne;Maszyny do napowietrznych szybów naftowych
Ser miêkki;Cyfrowe urz¹dzenia offsetowe;Ultrasonokardiografy;Kolejowy system monitorowania;Pompy zanurzeniowe
Ser feta;Maszyny biurowe i przemys³owe;Urz¹dzenia Dopplera;Uk³ad grzewczy;Urz¹dzenia podwodne
Sery scalone, sproszkowane, z przerostami pleœni i pozosta³e sery;Maszyny potwierdzaj¹ce wa¿noœæ biletów;Echoencefalografy;Maszyny do poziomowania torów;Podwodne uk³ady sterownicze
Ser z przerostami pleœni;Automaty do wydawania gotówki;Echokardiografy;Kolejowe materia³y konstrukcyjne i wyroby;Urz¹dzenia wiertnicze
Ser cheddar;Powielacze bia³kowe;Urz¹dzenia do obrazowania rezonansu magnetycznego;Materia³y do budowy torów kolejowych;Przenoœne hydrauliczne zmechanizowane wsporniki korytarzy górniczych
Ser scalony;Sk³adarki;Skanery rezonansu magnetycznego;Szyny;Maszyny do usuwania gleby i koparki oraz podobne czêœci
Ser parmezan;Dziurkarki;Atomowe skanery do rezonansu magnetycznego;Materia³y kolejowe;Maszyny do usuwania gleby
Ser twardy;Maszyny do wydawania bilonu;Urz¹dzenia do spektroskopii;Nak³adki stykowe i podk³adki pod szyny;Buldo¿ery
Pasty serowe do smarowania;Maszyny do sortowania bilonu;Urz¹dzenia do tomografii;Szyny kontrolne;Spycharki skoœne
Klasyfikowane produkty mleczarskie;Maszyny do liczenia bilonu;Skanery do tomografii komputerowej;Wyroby do budowy torów kolejowych;Równiarki i niwelatory
Jogurt i pozosta³e przefermentowane przetwory mleczne;Maszyny do pakowania bilonu;Skanery do tomografii komputerowej osiowej;Szyny przewodz¹ce pr¹d;Równiarki drogowe
Jogurt;Czêœci i akcesoria do maszyn biurowych;Systemy rejestruj¹ce i urz¹dzenia badawcze;Iglice zwrotnicowe, krzy¿ownice, prêty zwrotnicowe i pozosta³e elementy skrzy¿owañ;Maszyny zgarniaj¹ce
Jogurt bez dodatków substancji smakowych;Fusery;Ambulatoryjny system rejestruj¹cy;Iglice zwrotnicowe;Podbijaki
Jogurt z dodatkiem substancji smakowych;Olej do fusera;Elektroencefalografy;Krzy¿ownice;£adowarki czo³owe
Maœlanka;Wycieraczki do fusera;Urz¹dzenia do scyntygrafii;Prêty zwrotnicowe;£adowarki czo³owe z lemieszem z ty³u
Kazeina;Lampy do fusera;Elektromiografy;Elementy skrzy¿owañ;£adowarki czo³owe bez lemiesza
Laktoza lub syrop laktozowy;Podk³adki czyszcz¹ce do fusera;Audiometry;Zaciski szynowe, podk³adki i ³¹czenia;Koparki, czerparki i ³adowarki, i maszyny górnicze
Serwatka;Filtry do fusera;Elektrokardiogram;Zaciski szynowe;Koparki mechaniczne
Lody i produkty podobne;Zestawy do fusera;Sprzêt oftalmologiczny;Podk³adki i ³¹czenia;£adowarki mechaniczne
Lody;Bêbny do maszyn biurowych;Urz¹dzenia do diagnostyki sercowo-naczyniowej;Siode³ka szynowe i kliny siode³kowe;Czerparki
Sorbety;£adunki zszywek;Tensjometr;Podk³ady kolejowe i ich czêœci;Czerparki mechaniczne
Produkty przemia³u ziarna, skrobi i produktów skrobiowych;Akcesoria do skanerów;Urz¹dzenia do elektrokardiografii;Podk³ady;Maszyny i sprzêt budowlany
Produkty przemia³u ziarna;Urz¹dzenia znacz¹ce dokumenty (endorsery);Urz¹dzenia do monitorowania czynnoœci serca;Czêœci podk³adów;Maszyny in¿ynierii l¹dowej i wodnej
Ry¿ ³uskany;Podajniki dokumentów do skanera;Urz¹dzenia do kardioangiografii;Urz¹dzenia balastowe;Urz¹dzenia do wbijania pali
M¹ka zbo¿owa lub roœlinna i podobne produkty;Adaptery do skanowania slajdów;Kardiografy;Platformy wejœciowe;Maszyny do nabijania nawierzchni drogowych
M¹ka pszenna;Czêœci i akcesoria do aparatów fotokopiuj¹cych;Urz¹dzenia i wyroby diagnostyczne i radiodiagnostyczne;Urz¹dzenia do prze³adunku osadów;Strugarki
M¹ka z pe³nego przemia³u;Wk³ady barwi¹ce;Urz¹dzenia diagnostyczne;Uk³ady do osuszania osadów;Rêbarki
M¹ka do wyrobu chleba;Toner do drukarek laserowych/faksów;Systemy diagnostyczne;Wci¹gniki hydrauliczne;Maszyny chodnikowe
M¹ka czysta;Toner do fotokopiarek;Diagnostyczne urz¹dzenia ultradŸwiêkowe;Rampy wejœciowe;Walce drogowe
M¹ka piekarska;Toner dla oœrodków przetwarzania danych oraz badañ i dokumentowania;Wyroby diagnostyczne;Pomosty promowe;Walce mechaniczne
M¹ka umo¿liwiaj¹ca roœniêcie ciasta bez dodatku dro¿d¿y;Urz¹dzenia pocztowe;Paski odczynnikowe;Chodniki;P³ugi odœnie¿aj¹ce lemieszowe i wirnikowe
M¹ki zbo¿owe;Sprzêt u¿ywany w urzêdach pocztowych;Urz¹dzenia radiodiagnostyczne;Suwnice bramowe;P³ugi odœnie¿aj¹ce lemieszowe
M¹ka kukurydziana;Maszyny do sk³adania papieru lub kopert;Wyroby radiodiagnostyczne;Doki p³ywaj¹ce;P³ugi odœnie¿aj¹ce wirnikowe
M¹ka ry¿owa;Maszyny do wype³niania kopert;Urz¹dzenia do badañ urologicznych;P³ywaj¹ce jednostki przechowalnicze;Maszyny do wyci¹gania pali
